t,a,R_cal,Rdot,H,W,F,Z,U,Omega_m_R,Omega_r_R,Omega_cal,closure_sum,q,G_unscreened_over_G
1.5445772835198435,0.4481249542848003,18033.759742734892,-30521.994903089482,0.432359668073763,1.1090187782002308e-05,1.0000554503239487,6.149613252003664e-12,1.8448430556085548e-10,0.9906880692770651,0.004421481373909142,0.004890449349025957,1.0000000000000002,0.4763953946022319,0.9999445527506192
1.5799307926107156,0.45507707199952135,16941.163263223283,-30423.67141463307,0.4226609800420499,1.1805425389476465e-05,1.000059026430107,6.968403431324777e-12,2.0904716707087096e-10,0.9898831659527857,0.004350397885806151,0.005766436161408671,1.0000000000000004,0.470229069399533,0.9999409770538068
1.6152843017015877,0.46213704342838446,15848.566783711667,-30325.347926176662,0.4132242327908986,1.2619278378526398e-05,1.0000630955956618,7.962309339737192e-12,2.388632515142692e-10,0.9888659881435585,0.004279535701391136,0.006854476155050157,0.9999999999999999,0.4621207116540482,0.9999369083851413
1.6506378107924606,0.4693065417915698,14755.970304200027,-30227.02443772025,0.4040556510582621,1.3553652192742333e-05,1.0000677673424563,9.185074388091452e-12,2.7554476221514565e-10,0.9875682643860556,0.004208627736643221,0.00822310787730104,0.9999999999999999,0.4512657504504567,0.9999322372496452
1.6859913198833327,0.4765872662672483,13663.37382468841,-30128.70094926384,0.3951663541955138,1.463745887906899e-05,1.0000731862231194,1.0712760121821782e-11,3.213733952683655e-10,0.9858929084436103,0.004137302770027291,0.009969788786362415,1.0,0.4371854892207736,0.999926819132712
1.7240663126370097,0.4839809423942896,12521.578213216992,-29859.906721513005,0.38656598770810746,1.5972172369967064e-05,1.0000798595862983,1.2755514510796964e-11,3.826532114249448e-10,0.9837437960488866,0.0040652170772767756,0.012190986873836865,1.0000000000000002,0.4181856865044722,0.9999201467907459
1.765599536851396,0.4914893224812161,11317.26450240572,-29374.49268383448,0.3782826941871675,1.767180272202193e-05,1.000088357452147,1.5614630572303084e-11,4.684223609951195e-10,0.980923568270769,0.0039916373495916925,0.015084794379639513,1.0000000000000002,0.38896310001731393,0.9999116503542025
1.807132761065781,0.49911418602150076,10112.950791594483,-28889.07864615597,0.3703828824876733,1.9776230387687825e-05,1.000098879196442,1.9554964417345366e-11,5.866257293409064e-10,0.9770217983389365,0.003915023157834462,0.0190631785032292,1.0000000000000002,0.34256093246851194,0.9999011305796868
1.8486659852801672,0.5068573401153107,8908.63708078321,-28403.664608477444,0.36296455358485263,2.244961920242201e-05,1.0001122455760851,2.5199270116687755e-11,7.559441610405365e-10,0.9714363600678954,0.003833174675331297,0.024730465256773457,1.0,0.26723270792734155,0.9998877670215702
1.8901992094945526,0.5147206198977898,7704.323369971965,-27918.25057079893,0.35620983922589544,2.5958776474024476e-05,1.0001297905130797,3.3692903801418335e-11,1.0107346371301644e-09,0.9630877600997586,0.0037421767182787545,0.033170063181962486,0.9999999999999998,0.14697624871484294,0.9998702263303114
1.9333040152965588,0.5227058889739891,6511.163347736767,-27290.99195819452,0.3503702689329316,3.071553364772931e-05,1.0001535729510187,4.717220036323958e-11,1.4150790770738673e-09,0.9505071470354842,0.003636871774684687,0.04585598118983078,0.9999999999999997,-0.06630711731121863,0.9998464506300112
1.9775623485428566,0.5308150398605423,5326.190037523874,-26559.6206407268,0.34611537697917344,3.754888368876865e-05,1.0001877373688506,7.049593331363383e-11,2.1147191797747893e-09,0.9300274714206272,0.0035041489090624394,0.06646837967031051,1.0000000000000002,-0.5243614838142676,0.9998122978698535
2.021820681789152,0.5390499944341934,4141.216727311042,-25828.24932325911,0.34527662141162807,4.8292652772921245e-05,1.000241451602963,1.166090155922969e-10,3.497932594405493e-09,0.8923236769765637,0.0033107269685186775,0.10436559605491788,1.0000000000000002,-1.4923642916851705,0.9997586066818407
2.0655400168751474,0.5474127043872854,3038.2271726576278,-24963.585455712648,0.3514023153246277,6.582352929165835e-05,1.0003290959827733,2.1663685042049025e-10,6.4982499526494644e-09,0.8225304685968317,0.0030051566651800067,0.17446437473798806,0.9999999999999997,-4.0176370611083705,0.9996710122857618
2.1077659695785917,0.5559051516903105,1993.3092098417635,-24061.409270494223,0.3788942099081203,0.00010032559619620478,1.0005015776548547,5.032612626061969e-10,1.509480863097624e-08,0.6754495836063071,0.002430089311288101,0.32212032708240457,0.9999999999999998,-10.74174277993076,0.9994986737991655
2.1445116783661233,0.5645293490616418,1123.0257048819878,-23092.18620480393,0.4743160508251414,0.00017805860312021,1.0008901344912704,1.5852433072560232e-09,4.754036475294475e-08,0.41140268589111534,0.0014575068119131345,0.5871398072969717,1.0000000000000002,-24.02048745914509,0.9991106571434808
