xi_completion,k_over_H0,a,z,zeta,constraint_relative_residual,Delta_0,dDelta_dln_a_0,Delta_1,dDelta_dln_a_1,Delta_2,dDelta_dln_a_2,Delta_3,dDelta_dln_a_3
1.0,1.0,0.00019952623149688793,5010.872336272723,1.0004556492366913e-08,0.0,3.001653108793427e-08,3.2075240997133296e-11,3.001653108793427e-08,3.2075240997147235e-11,4.0022042695936556e-08,4.277189058776378e-11,4.002204269594466e-08,4.277189061890066e-11
1.0,1.0,0.00025118864315095774,3980.071705534977,1.0007195453822605e-08,0.0,3.002575789772195e-08,4.923881760064329e-11,3.002575789772195e-08,4.9238817600669744e-11,4.003434693468503e-08,6.566374282896895e-11,4.003434693470458e-08,6.566374290338177e-11
1.0,1.0,0.00031622776601683783,3161.2776601683804,1.0011285946231764e-08,0.0,3.0039863300084744e-08,7.500105260188355e-11,3.003986330008475e-08,7.500105260193345e-11,4.005315858007707e-08,1.0003046330398284e-10,4.005315858012386e-08,1.0003046348065363e-10
1.0,1.0,0.00039810717055349676,2510.8864315095834,1.0017574922961132e-08,0.0,3.006125916862447e-08,1.1335383848247678e-10,3.006125916862449e-08,1.1335383848257025e-10,4.0081697123036235e-08,1.5120831515238815e-10,4.0081697123147474e-08,1.512083155690765e-10
1.0,1.0,0.0005011872336272721,1994.2623149688804,1.0027164110538291e-08,0.0,3.009346359569619e-08,1.7001301329972366e-10,3.009346359569624e-08,1.7001301329989766e-10,4.012466200504344e-08,2.2685059371619988e-10,4.012466200530612e-08,2.2685059469265002e-10
1.0,1.0,0.0006309573444801923,1583.8931924611159,1.0041665201180085e-08,0.0,3.0141575254409826e-08,2.531324690264977e-10,3.014157525440993e-08,2.5313246902681955e-10,4.0188871750336816e-08,3.379039679143633e-10,4.018887175095309e-08,3.37903970188447e-10
1.0,1.0,0.000794328234724281,1257.925411794168,1.006341936389465e-08,0.0,3.021294461867303e-08,3.743161590299324e-10,3.021294461867323e-08,3.743161590305243e-10,4.028417425303037e-08,5.000132131566449e-10,4.028417425446744e-08,5.000132184224813e-10
1.0,1.0,0.0009999999999999985,999.0000000000015,1.0095807602964107e-08,0.0,3.0318123917527704e-08,5.500534988300655e-10,3.0318123917528095e-08,5.500534988311486e-10,4.042474851591228e-08,7.355612989806696e-10,4.042474851924423e-08,7.355613111105318e-10
1.0,1.0,0.0012589254117941664,793.328234724282,1.0143689950152136e-08,1.2740705032158121e-24,3.04722129683022e-08,8.037569156129366e-10,3.047221296830294e-08,8.037569156149095e-10,4.063097927351196e-08,1.0766727551451765e-09,4.0630979281196984e-08,1.0766727829561716e-09
1.0,1.0,0.0015848931924611108,629.9573444801943,1.0214027282366524e-08,1.3355466677716379e-24,3.0696767040828406e-08,1.1686544448745493e-09,3.069676704082976e-08,1.168654444878128e-09,4.093218313402543e-08,1.5697195892865564e-09,4.093218315166748e-08,1.5697196527908573e-09
