xi_completion,a,z,E,H_km_s_Mpc,Omega_m,Omega_r,Omega_R,Q_tensor,c_T,dL_GW_over_dL_EM,gamma_PPN,beta_PPN,alpha1_PPN,alpha2_PPN,Cassini_minus_2loglike
1.0,7.585775750291852e-06,131824.67385564046,169004264.28875124,11384127242.490284,0.02516627873660595,0.9748337212633467,4.696493817755948e-14,1.9999999999999818,1.0,0.9316924531362373,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,8.066156921766128e-06,123973.77630289453,149592603.36560136,10076557762.706907,0.026717393535991542,0.9732826064639513,5.708918235891428e-14,1.999999999999978,1.0,0.9316924531362382,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,8.576958985908945e-06,116590.44011798312,132417039.0437716,8919611749.988455,0.028361329344823206,0.9716386706551073,6.939046847180787e-14,1.9999999999999734,1.0,0.9316924531362393,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,9.120108393559115e-06,109646.81961431829,117219588.20449042,7895911461.454474,0.030103288817292448,0.9698967111826229,8.433536119674367e-14,1.9999999999999676,1.0,0.9316924531362406,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,9.697653591082486e-06,103116.72745930559,103772055.680976,6990085670.670544,0.03194872182819989,0.9680512781716974,1.0248996467696515e-13,1.9999999999999605,1.0,0.9316924531362424,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.031177274593056e-05,96975.53591082487,91872593.3769272,6188537889.869816,0.033903331526981766,0.9660966684728937,1.2454103029094619e-13,1.999999999999952,1.0,0.9316924531362443,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.0964781961431852e-05,91200.08393559096,81342656.93489751,5479241371.134696,0.03597307973388619,0.9640269202659626,1.5132150404666723e-13,1.9999999999999418,1.0,0.9316924531362466,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.165914401179831e-05,85768.58985908946,72024314.01766852,4851557792.230151,0.03816419153901985,0.9618358084607964,1.8384143719432665e-13,1.9999999999999294,1.0,0.9316924531362495,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.2397477630289454e-05,80660.56921766126,63777863.57407735,4296076890.349851,0.0404831589499793,0.9595168410497973,2.2332537297216102e-13,1.999999999999914,1.0,0.9316924531362532,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.3182567385564074e-05,75856.75750291836,56479730.15560572,3804474623.281601,0.04293674341805951,0.9570632565816689,2.7125754975507593e-13,1.9999999999998956,1.0,0.9316924531362574,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.4017374183467693e-05,71339.03750712564,50020601.50238089,3369387717.200377,0.04553197705670855,0.9544680229429624,3.294365337043799e-13,1.9999999999998734,1.0,0.9316924531362626,1.0,1.0,0.0,0.0,0.8336483931947068
