#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105668E+00   0.231348E+07   0.229828E+07  -0.518941E+01   0.845248E+01   0.000000E+00   0.231104E+07   0.231104E+07   0.231104E+07  -0.568327E-01   0.120903E+07   0.120887E+07   0.503284E+00
   0.111000E+00   0.219432E+07   0.218107E+07  -0.201542E+00   0.702341E+01   0.000000E+00   0.219219E+07   0.219219E+07   0.219219E+07  -0.539046E-01   0.114685E+07   0.114671E+07   0.417499E+00
   0.116333E+00   0.209838E+07   0.208732E+07  -0.311282E+01   0.612801E+01   0.000000E+00   0.209661E+07   0.209661E+07   0.209661E+07  -0.515482E-01   0.109684E+07   0.109672E+07   0.337183E+00
   0.121666E+00   0.201418E+07   0.200509E+07  -0.344277E+01   0.558925E+01   0.000000E+00   0.201272E+07   0.201272E+07   0.201272E+07  -0.494790E-01   0.105295E+07   0.105285E+07   0.272313E+00
   0.126999E+00   0.193192E+07   0.192425E+07  -0.244457E+01   0.509518E+01   0.000000E+00   0.193069E+07   0.193069E+07   0.193069E+07  -0.474551E-01   0.101003E+07   0.100995E+07   0.227817E+00
   0.132332E+00   0.184549E+07   0.183853E+07  -0.285154E+01   0.447286E+01   0.000000E+00   0.184437E+07   0.184437E+07   0.184437E+07  -0.453261E-01   0.964878E+06   0.964797E+06   0.203357E+00
   0.137665E+00   0.175321E+07   0.174633E+07  -0.187857E+01   0.378891E+01   0.000000E+00   0.175210E+07   0.175210E+07   0.175210E+07  -0.430515E-01   0.916609E+06   0.916529E+06   0.194494E+00
   0.142998E+00   0.165729E+07   0.165003E+07  -0.167538E+01   0.321677E+01   0.000000E+00   0.165612E+07   0.165612E+07   0.165612E+07  -0.406865E-01   0.866398E+06   0.866314E+06   0.194615E+00
   0.148331E+00   0.156236E+07   0.155456E+07  -0.137117E+01   0.284163E+01   0.000000E+00   0.156110E+07   0.156110E+07   0.156110E+07  -0.383465E-01   0.816691E+06   0.816603E+06   0.196967E+00
   0.153664E+00   0.147367E+07   0.146542E+07  -0.632601E+00   0.259499E+01   0.000000E+00   0.147234E+07   0.147234E+07   0.147234E+07  -0.361615E-01   0.770257E+06   0.770167E+06   0.196277E+00
   0.158997E+00   0.139544E+07   0.138703E+07  -0.178057E+01   0.235119E+01   0.000000E+00   0.139409E+07   0.139409E+07   0.139409E+07  -0.342357E-01   0.729317E+06   0.729226E+06   0.189662E+00
   0.164329E+00   0.132975E+07   0.132156E+07  -0.152007E+01   0.205790E+01   0.000000E+00   0.132843E+07   0.132843E+07   0.132843E+07  -0.326205E-01   0.694969E+06   0.694882E+06   0.176747E+00
   0.169662E+00   0.127624E+07   0.126860E+07  -0.191339E+00   0.176847E+01   0.000000E+00   0.127501E+07   0.127501E+07   0.127501E+07  -0.313067E-01   0.667023E+06   0.666942E+06   0.159157E+00
   0.174995E+00   0.123249E+07   0.122560E+07  -0.103698E+01   0.156444E+01   0.000000E+00   0.123138E+07   0.123138E+07   0.123138E+07  -0.302339E-01   0.644195E+06   0.644122E+06   0.139635E+00
   0.180328E+00   0.119484E+07   0.118877E+07  -0.109290E+01   0.146239E+01   0.000000E+00   0.119387E+07   0.119387E+07   0.119387E+07  -0.293120E-01   0.624571E+06   0.624506E+06   0.121078E+00
   0.185661E+00   0.115953E+07   0.115418E+07   0.212955E-02   0.139994E+01   0.000000E+00   0.115867E+07   0.115867E+07   0.115867E+07  -0.284475E-01   0.606157E+06   0.606098E+06   0.105756E+00
   0.190994E+00   0.112354E+07   0.111869E+07  -0.507529E+00   0.130270E+01   0.000000E+00   0.112276E+07   0.112276E+07   0.112276E+07  -0.275657E-01   0.587371E+06   0.587316E+06   0.948554E-01
   0.196327E+00   0.108522E+07   0.108063E+07  -0.853968E+00   0.115489E+01   0.000000E+00   0.108449E+07   0.108449E+07   0.108449E+07  -0.266260E-01   0.567345E+06   0.567293E+06   0.883901E-01
   0.201660E+00   0.104443E+07   0.103988E+07  -0.368139E+00   0.100351E+01   0.000000E+00   0.104370E+07   0.104370E+07   0.104370E+07  -0.256250E-01   0.546010E+06   0.545958E+06   0.854263E-01
   0.206993E+00   0.100228E+07   0.997618E+06  -0.552276E+00   0.900916E+00   0.000000E+00   0.100153E+07   0.100153E+07   0.100153E+07  -0.245900E-01   0.523949E+06   0.523897E+06   0.844935E-01
   0.212325E+00   0.960595E+06   0.955771E+06  -0.608082E+00   0.851535E+00   0.000000E+00   0.959820E+06   0.959820E+06   0.959820E+06  -0.235663E-01   0.502128E+06   0.502074E+06   0.840441E-01
   0.217658E+00   0.921299E+06   0.916357E+06  -0.297377E+00   0.813979E+00   0.000000E+00   0.920505E+06   0.920505E+06   0.920505E+06  -0.226015E-01   0.481561E+06   0.481507E+06   0.828388E-01
   0.222991E+00   0.885876E+06   0.880920E+06  -0.178360E+00   0.749700E+00   0.000000E+00   0.885079E+06   0.885079E+06   0.885079E+06  -0.217322E-01   0.463028E+06   0.462974E+06   0.801770E-01
   0.228324E+00   0.855023E+06   0.850184E+06  -0.104326E+00   0.661026E+00   0.000000E+00   0.854245E+06   0.854245E+06   0.854245E+06  -0.209756E-01   0.446897E+06   0.446845E+06   0.759491E-01
   0.233657E+00   0.828576E+06   0.823970E+06  -0.325092E+00   0.583262E+00   0.000000E+00   0.827836E+06   0.827836E+06   0.827836E+06  -0.203276E-01   0.433081E+06   0.433032E+06   0.705347E-01
   0.238990E+00   0.805660E+06   0.801360E+06  -0.480996E+00   0.543484E+00   0.000000E+00   0.804969E+06   0.804969E+06   0.804969E+06  -0.197666E-01   0.421118E+06   0.421072E+06   0.646022E-01
   0.244323E+00   0.784992E+06   0.781018E+06  -0.194816E+00   0.532937E+00   0.000000E+00   0.784353E+06   0.784353E+06   0.784353E+06  -0.192608E-01   0.410333E+06   0.410290E+06   0.588799E-01
   0.249656E+00   0.765253E+06   0.761569E+06  -0.183488E+00   0.518766E+00   0.000000E+00   0.764661E+06   0.764661E+06   0.764661E+06  -0.187776E-01   0.400030E+06   0.399990E+06   0.539589E-01
   0.254989E+00   0.745395E+06   0.741930E+06  -0.241877E+00   0.479443E+00   0.000000E+00   0.744838E+06   0.744838E+06   0.744838E+06  -0.182913E-01   0.389660E+06   0.389622E+06   0.501708E-01
   0.260321E+00   0.724846E+06   0.721512E+06   0.657644E-03   0.424368E+00   0.000000E+00   0.724310E+06   0.724310E+06   0.724310E+06  -0.177875E-01   0.378921E+06   0.378883E+06   0.475533E-01
