#    L    TT             EE             TE             PP             TP          
   257   0.538984E+04   0.313234E+01   0.777843E+02   0.195222E+07   0.133557E+04
   258   0.536746E+04   0.323480E+01   0.793341E+02   0.194361E+07   0.132420E+04
   259   0.534459E+04   0.333959E+01   0.808679E+02   0.193505E+07   0.131290E+04
   260   0.532125E+04   0.344670E+01   0.823836E+02   0.192655E+07   0.130169E+04
   261   0.529743E+04   0.355613E+01   0.838819E+02   0.191811E+07   0.129055E+04
   262   0.527317E+04   0.366787E+01   0.853612E+02   0.190973E+07   0.127949E+04
   263   0.524847E+04   0.378193E+01   0.868216E+02   0.190140E+07   0.126850E+04
   264   0.522334E+04   0.389829E+01   0.882616E+02   0.189313E+07   0.125760E+04
   265   0.519778E+04   0.401693E+01   0.896820E+02   0.188491E+07   0.124676E+04
   266   0.517179E+04   0.413785E+01   0.910804E+02   0.187675E+07   0.123601E+04
   267   0.514539E+04   0.426104E+01   0.924562E+02   0.186865E+07   0.122532E+04
   268   0.511859E+04   0.438647E+01   0.938101E+02   0.186060E+07   0.121471E+04
   269   0.509138E+04   0.451414E+01   0.951399E+02   0.185260E+07   0.120417E+04
   270   0.506376E+04   0.464402E+01   0.964463E+02   0.184466E+07   0.119371E+04
   271   0.503577E+04   0.477612E+01   0.977271E+02   0.183677E+07   0.118331E+04
   272   0.500740E+04   0.491040E+01   0.989830E+02   0.182893E+07   0.117299E+04
   273   0.497867E+04   0.504683E+01   0.100213E+03   0.182115E+07   0.116273E+04
   274   0.494958E+04   0.518541E+01   0.101417E+03   0.181341E+07   0.115255E+04
   275   0.492015E+04   0.532610E+01   0.102593E+03   0.180573E+07   0.114243E+04
   276   0.489039E+04   0.546890E+01   0.103742E+03   0.179809E+07   0.113238E+04
   277   0.486030E+04   0.561376E+01   0.104862E+03   0.179051E+07   0.112240E+04
   278   0.482990E+04   0.576068E+01   0.105953E+03   0.178298E+07   0.111248E+04
   279   0.479921E+04   0.590961E+01   0.107016E+03   0.177549E+07   0.110263E+04
   280   0.476822E+04   0.606051E+01   0.108048E+03   0.176806E+07   0.109285E+04
   281   0.473695E+04   0.621337E+01   0.109050E+03   0.176067E+07   0.108313E+04
   282   0.470542E+04   0.636815E+01   0.110022E+03   0.175333E+07   0.107347E+04
   283   0.467362E+04   0.652482E+01   0.110962E+03   0.174604E+07   0.106388E+04
   284   0.464158E+04   0.668335E+01   0.111869E+03   0.173879E+07   0.105435E+04
   285   0.460929E+04   0.684370E+01   0.112745E+03   0.173159E+07   0.104488E+04
   286   0.457678E+04   0.700583E+01   0.113588E+03   0.172444E+07   0.103547E+04
   287   0.454406E+04   0.716969E+01   0.114398E+03   0.171733E+07   0.102613E+04
   288   0.451113E+04   0.733527E+01   0.115173E+03   0.171026E+07   0.101684E+04
   289   0.447800E+04   0.750250E+01   0.115916E+03   0.170324E+07   0.100761E+04
   290   0.444469E+04   0.767135E+01   0.116623E+03   0.169627E+07   0.998445E+03
   291   0.441121E+04   0.784181E+01   0.117295E+03   0.168934E+07   0.989334E+03
   292   0.437756E+04   0.801372E+01   0.117933E+03   0.168244E+07   0.980280E+03
   293   0.434376E+04   0.818717E+01   0.118534E+03   0.167560E+07   0.971283E+03
   294   0.430982E+04   0.836207E+01   0.119100E+03   0.166879E+07   0.962342E+03
   295   0.427574E+04   0.853828E+01   0.119629E+03   0.166203E+07   0.953455E+03
   296   0.424154E+04   0.871587E+01   0.120121E+03   0.165530E+07   0.944624E+03
   297   0.420722E+04   0.889469E+01   0.120575E+03   0.164862E+07   0.935846E+03
   298   0.417280E+04   0.907473E+01   0.120992E+03   0.164198E+07   0.927121E+03
   299   0.413828E+04   0.925592E+01   0.121371E+03   0.163537E+07   0.918449E+03
   300   0.410368E+04   0.943818E+01   0.121712E+03   0.162881E+07   0.909829E+03
   301   0.406901E+04   0.962158E+01   0.122015E+03   0.162228E+07   0.901260E+03
   302   0.403428E+04   0.980591E+01   0.122279E+03   0.161579E+07   0.892742E+03
   303   0.399951E+04   0.999123E+01   0.122505E+03   0.160934E+07   0.884276E+03
   304   0.396471E+04   0.101775E+02   0.122693E+03   0.160293E+07   0.875863E+03
   305   0.392989E+04   0.103645E+02   0.122842E+03   0.159655E+07   0.867501E+03
   306   0.389505E+04   0.105524E+02   0.122952E+03   0.159022E+07   0.859192E+03
   307   0.386022E+04   0.107410E+02   0.123023E+03   0.158391E+07   0.850935E+03
   308   0.382540E+04   0.109303E+02   0.123056E+03   0.157765E+07   0.842732E+03
   309   0.379060E+04   0.111202E+02   0.123049E+03   0.157142E+07   0.834581E+03
   310   0.375582E+04   0.113106E+02   0.123004E+03   0.156523E+07   0.826485E+03
   311   0.372109E+04   0.115014E+02   0.122919E+03   0.155907E+07   0.818441E+03
   312   0.368641E+04   0.116927E+02   0.122795E+03   0.155295E+07   0.810452E+03
   313   0.365179E+04   0.118843E+02   0.122631E+03   0.154687E+07   0.802517E+03
   314   0.361724E+04   0.120762E+02   0.122428E+03   0.154081E+07   0.794637E+03
   315   0.358276E+04   0.122682E+02   0.122186E+03   0.153480E+07   0.786811E+03
   316   0.354838E+04   0.124604E+02   0.121904E+03   0.152882E+07   0.779041E+03
   317   0.351410E+04   0.126527E+02   0.121584E+03   0.152287E+07   0.771326E+03
   318   0.347994E+04   0.128449E+02   0.121224E+03   0.151696E+07   0.763666E+03
   319   0.344590E+04   0.130370E+02   0.120825E+03   0.151108E+07   0.756062E+03
   320   0.341198E+04   0.132291E+02   0.120388E+03   0.150523E+07   0.748514E+03
