a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
4.167176381905813264e-03,-1.004231192958730423e+00,1.323288818549079566e-07,5.275755841023334238e-08,-2.637877920511667119e-08
4.364999658992435756e-03,-1.004381631924710527e+00,1.524980818232866129e-07,6.085521879939939565e-08,-3.042760939969969782e-08
4.568986591247136894e-03,-1.004534426179574780e+00,1.753454427418691496e-07,7.003591691991492340e-08,-3.501795845995746170e-08
4.779231734817157747e-03,-1.004689540637377920e+00,2.011763414399465244e-07,8.042413594984181548e-08,-4.021206797492090774e-08
4.995829645849748923e-03,-1.004846939153127172e+00,2.303255038342452025e-07,9.215644019363406384e-08,-4.607822009681703192e-08
5.218874880492150627e-03,-1.005006584538259196e+00,2.631593238190499048e-07,1.053824423981071914e-07,-5.269122119905359569e-08
5.448461994891613466e-03,-1.005168438575668510e+00,3.000783276509983853e-07,1.202658329718553214e-07,-6.013291648592766068e-08
5.684685545195379379e-03,-1.005332462034316920e+00,3.415197907269852269e-07,1.369854741333184109e-07,-6.849273706665920545e-08
5.927640087550694638e-03,-1.005498614683438596e+00,3.879605138840847054e-07,1.557365621178425716e-07,-7.786828105892128579e-08
6.177420178104808118e-03,-1.005666855306361462e+00,4.399197665859001370e-07,1.767318606814385013e-07,-8.836593034071925067e-08
6.434120373004960890e-03,-1.005837141713962435e+00,4.979624046003935021e-07,2.002030092485569370e-07,-1.001015046242784685e-07
6.697835228398403562e-03,-1.006009430757770717e+00,5.627021700201357331e-07,2.264019091630668444e-07,-1.132009545815334222e-07
6.968659300432376337e-03,-1.006183678342736254e+00,6.348051817270716881e-07,2.556021916157257122e-07,-1.278010958078628561e-07
7.246687145254127223e-03,-1.006359839439676440e+00,7.149936246604996585e-07,2.881007709378102950e-07,-1.440503854689051475e-07
7.532013319010905095e-03,-1.006537868097413746e+00,8.040496465090001402e-07,3.242194870691831293e-07,-1.621097435345915646e-07
7.824732377849950155e-03,-1.006717717454618244e+00,9.028194707146870835e-07,3.643068411299370114e-07,-1.821534205649685057e-07
8.124938877918513880e-03,-1.006899339751365474e+00,1.012217734951461925e-06,4.087398281478708337e-07,-2.043699140739354169e-07
