#    L    TT             EE             BB             TE          
   362   0.222882E+04   0.200894E+02   0.362344E-01   0.698643E+02
   363   0.220838E+04   0.202045E+02   0.363429E-01   0.681010E+02
   364   0.218836E+04   0.203165E+02   0.364515E-01   0.663192E+02
   365   0.216877E+04   0.204252E+02   0.365602E-01   0.645199E+02
   366   0.214962E+04   0.205306E+02   0.366690E-01   0.627038E+02
   367   0.213090E+04   0.206328E+02   0.367779E-01   0.608717E+02
   368   0.211262E+04   0.207315E+02   0.368869E-01   0.590244E+02
   369   0.209478E+04   0.208269E+02   0.369961E-01   0.571628E+02
   370   0.207739E+04   0.209187E+02   0.371054E-01   0.552874E+02
   371   0.206044E+04   0.210072E+02   0.372150E-01   0.533994E+02
   372   0.204394E+04   0.210920E+02   0.373247E-01   0.514992E+02
   373   0.202789E+04   0.211733E+02   0.374347E-01   0.495878E+02
   374   0.201229E+04   0.212510E+02   0.375450E-01   0.476660E+02
   375   0.199712E+04   0.213251E+02   0.376555E-01   0.457344E+02
   376   0.198241E+04   0.213955E+02   0.377663E-01   0.437939E+02
   377   0.196816E+04   0.214621E+02   0.378774E-01   0.418452E+02
   378   0.195435E+04   0.215250E+02   0.379889E-01   0.398891E+02
   379   0.194100E+04   0.215840E+02   0.381007E-01   0.379264E+02
   380   0.192810E+04   0.216391E+02   0.382129E-01   0.359579E+02
   381   0.191565E+04   0.216904E+02   0.383255E-01   0.339842E+02
   382   0.190366E+04   0.217376E+02   0.384385E-01   0.320062E+02
   383   0.189212E+04   0.217809E+02   0.385519E-01   0.300248E+02
   384   0.188103E+04   0.218203E+02   0.386658E-01   0.280407E+02
   385   0.187039E+04   0.218557E+02   0.387801E-01   0.260549E+02
   386   0.186021E+04   0.218871E+02   0.388949E-01   0.240682E+02
   387   0.185048E+04   0.219146E+02   0.390102E-01   0.220814E+02
   388   0.184118E+04   0.219381E+02   0.391260E-01   0.200955E+02
   389   0.183234E+04   0.219577E+02   0.392424E-01   0.181113E+02
   390   0.182394E+04   0.219732E+02   0.393593E-01   0.161295E+02
   391   0.181598E+04   0.219848E+02   0.394768E-01   0.141511E+02
   392   0.180846E+04   0.219924E+02   0.395948E-01   0.121769E+02
   393   0.180138E+04   0.219960E+02   0.397135E-01   0.102075E+02
